STATE,MALE,FEMALE
Abia,404,51
Adamawa,242,11
Akwa Ibom,370,48
Anambra,189,7
Bauchi,473,26
Bayelsa,269,83
Benue,147,11
Borno,612,10
Cross River,178,22
Delta,164,46
Ebonyi,150,11
Edo,260,68
Ekiti,41,8
Enugu,91,1
Gombe,59,0
Imo,56,7
Jigawa,634,3
Kaduna,249,10
Kano,535,7
Katsina,803,16
Kebbi,198,3
Kogi,108,7
Kwara,93,10
Lagos,158,3
Nassarawa,62,0
Niger,166,7
Ogun,140,25
Ondo,236,32
Osun,192,16
Oyo,182,20
Plateau,419,19
Rivers,194,38
Sokoto,135,4
Taraba,106,2
Yobe,111,0
Zamfara,220,13
FCT,240,8
SET(HQ LAGOS),9,0
JTF(HQ LAGOS),2,0
DOGI(HQ LAGOS),31,2
